source_dataset,target_dataset,pixel_auroc,pixel_aupro,image_auroc,image_ap,unit
VisA,MVTec AD,91.0,81.6,91.6,96.2,percent
MVTec AD,VisA,95.4,86.3,81.1,84.6,percent
