protocol,evaluation_scope,Dataset,category_count,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD (15) + VisA (12); each category has equal weight,mvtec_ad,15,0.9573920833043936,0.9466765399027639,0.9769126294318723,0.9260003359725625,0.5084624258931754,0.5201561979224322,0.878325264006416
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD (15) + VisA (12); each category has equal weight,visa,12,0.9328664191419141,0.9008191101446296,0.9495178335974742,0.9444181949049774,0.3109601000866465,0.2601026347264676,0.8452919648167092
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD (15) + VisA (12); each category has equal weight,mvtec_ad+visa (category macro average),27,0.9464917881210695,0.9262954600102596,0.9647371646165842,0.9341860510536356,0.42068361442360697,0.4045768365020035,0.8636437976998798
