Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
mvtec_ad,bottle,0.9611111111111111,0.9430894308443387,0.988004755836096,0.9609277538751156,0.6967655899868419,0.7555818987345817,0.9101011826266929
mvtec_ad,cable,0.9012368815592203,0.8770053475435957,0.9363077001079191,0.8650827637840152,0.26095166646580353,0.2110806098090704,0.6153208779751917
mvtec_ad,capsule,0.9776625448743518,0.9719626167724474,0.9957607242834803,0.9594943694732421,0.4669485323515807,0.4024255741581337,0.9485166664568397
mvtec_ad,carpet,0.9867576243980738,0.9834254143146546,0.9955512815660668,0.9961879612597703,0.7451127819051964,0.8137334643258244,0.9676777198620011
mvtec_ad,grid,0.9983291562238931,0.9913043477760907,0.999389732649834,0.9877190559824844,0.4177852348497633,0.42406099426295446,0.9387933146418705
mvtec_ad,hazelnut,0.9853571428571429,0.9571428570928572,0.9913837518547042,0.9668669466791516,0.5680599200880025,0.5970330697193487,0.8667305604190692
mvtec_ad,leather,0.9996603260869565,0.9945945945445961,0.9998831229546516,0.9963534225415134,0.5977174543314747,0.6646893940363227,0.9921097789030167
mvtec_ad,metal_nut,0.929130009775171,0.9230769230270296,0.9844264403303578,0.7201933424637519,0.2921281655771509,0.30686365729004406,0.8163709061685387
mvtec_ad,pill,0.9609929078014184,0.9645390070421985,0.9925256576420872,0.8943365591765686,0.40057406356982517,0.38768280947637135,0.9202533020653997
mvtec_ad,screw,0.9803238368518139,0.9666666666166701,0.9928674786342561,0.9754178333053699,0.45449831470262025,0.4010990560461232,0.8752847554975345
mvtec_ad,tile,0.9906204906204906,0.9880952380452381,0.9958072388377268,0.9635041896779104,0.7372274548724345,0.7808604989320594,0.9171673884880007
mvtec_ad,toothbrush,0.9277777777777778,0.9473684210027702,0.9770055480581796,0.9522175324191773,0.4473361621381347,0.44220912091024966,0.938114804781751
mvtec_ad,transistor,0.7918750000000001,0.7368421052132963,0.8133558602890057,0.7051581493019574,0.14414951859443478,0.13120051880831685,0.5619740260383181
mvtec_ad,wood,0.9921052631578947,0.9836065573270626,0.9975029925361795,0.9557263343556006,0.6985800187864953,0.7509143641484234,0.9394485962937767
mvtec_ad,zipper,0.9779411764705883,0.9714285713786123,0.9939171558975386,0.9908188252928084,0.6991015101778719,0.7329079381786584,0.9670150798782386
visa,candle,0.9807,0.9499999999500001,0.9824362792791053,0.9929852350922123,0.4696768481129682,0.4472934549880811,0.9563422966940712
visa,capsules,0.99125,0.9690721648985015,0.9952609760595624,0.9845941750749225,0.5241507206797432,0.4869034129884323,0.9397710880459319
visa,cashew,0.8981,0.8755760368166663,0.9533821241906963,0.8602606991761976,0.13513009414971366,0.10945177843105294,0.7968602674589741
visa,chewinggum,0.9964000000000001,0.97999999995,0.99823555943355,0.9965164204316003,0.7900190314579147,0.8657299409495312,0.9127212297312228
visa,fryum,0.9649000000000001,0.944162436498235,0.9857878892261889,0.9261544958876384,0.35969261993000445,0.2854213918743512,0.9005695158703951
visa,macaroni1,0.9823000000000001,0.9509803921068819,0.9855437682814483,0.9794879541258791,0.26003824086808924,0.15492686428435512,0.8684433974816952
visa,macaroni2,0.8716499999999999,0.8076923076423816,0.8898191310171464,0.9561053114383197,0.03252032516849939,0.011943039547130184,0.7606154553268022
visa,pcb1,0.8503499999999999,0.8133971291366955,0.8652217191051782,0.8714822454942444,0.08703866357134439,0.03902854063770255,0.8232656338373688
visa,pcb2,0.81165,0.7487179486679815,0.8449638027150782,0.9566778783138853,0.2502756339135799,0.15854662893689453,0.7649365893716995
visa,pcb3,0.8711386138613862,0.8248587570129912,0.9081470549037665,0.9232380583701327,0.16926219040284796,0.06770634211434771,0.6674359798824361
visa,pcb4,0.9841584158415841,0.965174129303235,0.9888297963144046,0.9664818063941265,0.4418398581746909,0.3527810644123841,0.8131544797713791
visa,pipe_fryum,0.9917999999999999,0.9801980197519851,0.9965859026435654,0.9190340590605695,0.2118769746103622,0.141499157553349,0.9393876443285339
