Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
mvtec_ad,Average,0.9573920833043935,0.9466765399027639,0.9769126294318723,0.9260003359725626,0.5084624258931755,0.5201561979224322,0.878325264006416
visa,Average,0.9328664191419143,0.9008191101446293,0.949517833597474,0.9444181949049774,0.31096010008664654,0.26010263472646766,0.8452919648167092
Average,Average,0.9328664191419143,0.9008191101446293,0.949517833597474,0.9444181949049774,0.31096010008664654,0.26010263472646766,0.8452919648167092
