category,image_auroc_10pct,image_auroc_1pct,image_auroc_change,pixel_auroc_10pct,pixel_auroc_1pct,pixel_auroc_change
bottle,1.0,1.0,0.0,0.984857,0.9846682447602966,-0.00018875523970340868
cable,0.997939,0.9930659670164919,-0.004873032983508163,0.983704,0.9813784495901746,-0.0023255504098254054
capsule,0.980854,0.9712804148384524,-0.009573585161547604,0.989521,0.9894831216243282,-3.7878375671818176e-05
carpet,0.985152,0.9835473515248796,-0.0016046484751204293,0.99067,0.990258667260294,-0.00041133273970606066
grid,0.977444,0.9824561403508771,0.005012140350877159,0.98771,0.9868289511087566,-0.0008810488912434078
hazelnut,1.0,1.0,0.0,0.986802,0.9858810118335583,-0.0009209881664417052
leather,1.0,1.0,0.0,0.992815,0.992855426902776,4.0426902775947404e-05
metal_nut,0.998045,0.9980449657869013,-3.421309868745226e-08,0.983272,0.9822518147781263,-0.0010201852218737484
pill,0.966176,0.9746317512274959,0.008455751227495867,0.978144,0.9756823796895066,-0.002461620310493462
screw,0.982578,0.9696659151465464,-0.01291208485345352,0.995308,0.9945480374511007,-0.0007599625488993178
tile,0.995671,0.9862914862914862,-0.009379513708513754,0.957263,0.9579185384740946,0.000655538474094608
toothbrush,1.0,1.0,0.0,0.985799,0.9846526290670697,-0.0011463709329302407
transistor,0.999167,0.9995833333333333,0.00041633333333324085,0.962745,0.951017920087859,-0.011727079912140947
wood,0.989474,0.9921052631578947,0.0026312631578947476,0.950281,0.951214934958939,0.0009339349589390089
zipper,0.992384,0.9936974789915967,0.0013134789915966172,0.988797,0.9882220474975355,-0.0005749525024645319
mean,0.9909922666666666,0.9896246711777305,-0.0013675954889363017,0.9811792,0.9797908116722943,-0.0013883883277056328
