objects,pixel_auroc,pixel_aupro,image_auroc,image_ap
candle,98.8,95.6,79.8,81.7
capsules,95.1,80.2,85.7,91.2
cashew,93.6,90.1,69.3,86.3
chewinggum,99.2,89.6,97.2,98.8
fryum,94.2,86.2,92.8,96.8
macaroni1,98.3,89.2,86.9,85.9
macaroni2,97.6,83.8,73,71.3
pcb1,93.5,80.9,79.8,79.5
pcb2,92.1,77.5,62.7,65.2
pcb3,88.2,77,61.1,68.8
pcb4,95.7,89.7,92.9,93.3
pipe_fryum,98.2,95.8,92.2,96.2
mean,95.4,86.3,81.1,84.6
